method,Aircraft,Cars,CUB,Average
Torchv1,91.71,92.54,83.17,89.14
Torchv2,91.73,93.01,84.01,89.58
Gluon,91.24,92.21,81.96,88.47
SWSL,91.51,91.03,81.39,87.98
SSL,91.24,92.15,81.76,88.38
A1,89.74,91.66,82.66,88.02
Torchv1,43.97,46.28,44.05,44.76
Torchv2,35.94,37.16,33.13,35.41
Gluon,40.35,42.38,39.87,40.86
SWSL,48.44,53.01,55.85,52.43
SSL,48.47,49.27,54.39,50.71
A1,33.76,35.34,27.59,32.23
MoCo v3,91.86,93.11,83.84,89.6
SParK,87.7,62.43,71.86,74.0
Supcon,91.7,92.38,81.17,88.42
SwAV,91.58,92.88,84.98,89.81
MIIL,91.49,62.68,48.94,67.7
MoCo v3,45.24,50.75,36.7,44.23
SParK,21.07,19.67,11.58,17.44
Supcon,42.93,50.93,36.82,43.56
SwAV,38.23,42.27,29.31,36.6
MIIL,45.85,45.11,59.39,50.12
ViT,84.0,86.05,80.46,83.39
DeiT,87.08,86.65,79.05,84.07
IN21k-P,83.89,78.04,80.4,80.67
DeiT 3 (IN21k),86.07,85.24,80.41,83.91
DeiT 3 (IN1k),86.73,85.11,81.44,84.43
ViT,38.95,38.99,82.29,53.41
DeiT,43.52,51.67,66.22,53.8
IN21k-P,27.34,15.38,33.47,25.4
DeiT 3 (IN21k),51.82,58.41,80.51,63.58
DeiT 3 (IN1k),46.21,55.77,68.68,56.89
MoCo v3,82.58,80.43,78.71,80.57
DINO,67.79,61.54,71.87,67.07
MAE,74.51,81.83,68.41,74.42
CLIP,63.95,63.39,52.2,59.54
SigLIP,77.57,78.43,74.24,76.71
MoCo v3,45.88,51.35,61.16,52.8
DINO,55.71,61.29,73.21,63.4
MAE,23.26,17.01,16.2,18.83
CLIP,60.08,90.54,76.31,75.65
SigLIP,30.74,29.96,37.17,32.63
